@id,brick:inMode,brick:ofSystem/Equipment/Process,brick:hasSubstance,brick:isDifferential,brick:hasQuantity/Enumeration,rdfs:subClassOf,todo:,skos:definition
brick:EconCycle_Start_Stop_Status,,,,,,,(deprecated),
brick:Effective_Air_Temperature_Setpoint,,,brick:Air,,quantitykind:Temperature,brick:Effective_Setpoint,,
brick:Effective_Cooling_Zone_Air_Temperature_Setpoint,,brick:Cooling,brick:Zone_Air,,quantitykind:Temperature,brick:Effective_Setpoint,,The effective cooling setpoint for a specific zone in a building.
brick:Effective_Discharge_Air_Temperature_Setpoint,,,brick:Discharge_Air,,quantitykind:Temperature,brick:Effective_Setpoint,,
brick:Effective_Heating_Zone_Air_Temperature_Setpoint,,brick:Heating,brick:Zone_Air,,quantitykind:Temperature,brick:Effective_Setpoint,,The effective heating setpoint for a specific zone in a building.
brick:Effective_Return_Air_Temperature_Setpoint,,,brick:Return_Air,,quantitykind:Temperature,brick:Effective_Setpoint,,
brick:Effective_Room_Air_Temperature_Setpoint,,,brick:Room_Air,,quantitykind:Temperature,brick:Effective_Setpoint,,
brick:Effective_Supply_Air_Temperature_Setpoint,,,brick:Supply_Air,,quantitykind:Temperature,brick:Effective_Setpoint,,
brick:Effective_Target_Zone_Air_Temperature_Setpoint,,,brick:Zone_Air,,quantitykind:Temperature,brick:Effective_Setpoint,Target,Target Setpoint (also known as Common Setpoint) is a reference point representing the desired air temperature in a specific zone of a building. This setpoint acts as a baseline from which the cooling and heating setpoints are established by adding or subtracting a deadband width
brick:Electric_Energy_Sensor,,,,,quantitykind:Energy,brick:Sensor,Electric,
brick:Electric_Power_Sensor,,,,,quantitykind:ElectricPower,brick:Sensor,,Measures the amount of instantaneous electric power consumed
brick:Electrical_Energy_Usage_Sensor,,,,,quantitykind:Energy,brick:Usage_Sensor,Electric,A sensor that records the quantity of electrical energy consumed in a given period
brick:Embedded_Temperature_Sensor,,,,,quantitykind:Temperature,brick:Sensor,Embedded,Measures the internal temperature of the radiant layer of the radiant heating and cooling HVAC system.
brick:Embedded_Temperature_Setpoint,,,,,quantitykind:Temperature,brick:Setpoint,Embedded,"Sets temperature for the internal material, e.g. concrete slab, of the radiant panel."
brick:Emergency_Air_Flow_System_Status,,brick:Emergency_Air_Flow_System,,,,brick:Status,,
brick:Emergency_Alarm,,,,,,,(deprecated),Alarms that indicate off-normal conditions associated with emergency systems
brick:Emergency_Generator_Alarm,,,,,,,(deprecated),An alarm that indicates off-normal conditions associated with an emergency generator
brick:Emergency_Generator_Status,,,,,,,(deprecated),Indicates if an emergency generator is active
brick:Emergency_Power_Off_System_Activated_By_High_Temperature_Status,,,,,,,(deprecated),
brick:Emergency_Power_Off_System_Activated_By_Leak_Detection_System_Status,,,,,,,(deprecated),
brick:Emergency_Power_Off_System_Status,,,,,,,(deprecated),
brick:Emergency_Push_Button_Status,,,,,,,(deprecated),Indicates if an emergency button has been pushed
brick:Enable_Command,,,,,,brick:Enable_Command,,Commands that enable functionality
brick:Enable_Differential_Enthalpy_Command,,,,brick:Differential,quantitykind:Enthalpy,brick:Enable_Command,,Enables the use of differential enthalpy control
brick:Enable_Differential_Temperature_Command,,,,brick:Differential,quantitykind:Temperature,brick:Enable_Command,,Enables the use of differential temperature control
brick:Enable_Fixed_Enthalpy_Command,,,,,quantitykind:Enthalpy,brick:Enable_Command,Fixed,Enables the use of fixed enthalpy control
brick:Enable_Fixed_Temperature_Command,,,,,quantitykind:Temperature,brick:Enable_Command,Fixed,Enables the use of fixed temperature control
brick:Enable_Hot_Water_System_Outside_Air_Temperature_Setpoint,,brick:Hot_Water_System,brick:Outside_Air,,quantitykind:Temperature,brick:Enable_Setpoint,,Enables hot water system when outside air temperature reaches the indicated value
brick:Enable_Status,,,,,,brick:Enable_Status,,Indicates if a system or piece of functionality has been enabled
brick:Energy_Generation_Sensor,,,,,quantitykind:Energy,brick:Generation_Sensor,,A sensor measuring the amount of generated energy.
brick:Energy_Sensor,,,,,quantitykind:Energy,brick:Sensor,,Measures energy consumption
brick:Energy_Usage_Sensor,,,,,quantitykind:Energy,brick:Usage_Sensor,,Measures the total amount of energy used over some period of time
brick:Entering_Chilled_Water_Flow_Sensor,,,brick:Entering_Chilled_Water,,quantitykind:VolumeFlowRate,brick:Sensor,,Measures the rate of flow of chilled entering water
brick:Entering_Chilled_Water_Flow_Setpoint,,,brick:Entering_Chilled_Water,,quantitykind:VolumeFlowRate,brick:Setpoint,,Sets the target flow rate of chilled entering water
brick:Entering_Chilled_Water_Temperature_Sensor,,,brick:Entering_Chilled_Water,,quantitykind:Temperature,brick:Sensor,,Measures the temperature of chilled water that is enteringed to a cooling tower
brick:Entering_Chilled_Water_Temperature_Setpoint,,,brick:Entering_Chilled_Water,,quantitykind:Temperature,brick:Setpoint,,Sets the temperature of entering (downstream of the chilled water load) chilled water
brick:Entering_Condenser_Water_Flow_Sensor,,,brick:Entering_Condenser_Water,,quantitykind:VolumeFlowRate,brick:Sensor,,Measures the flow of the entering condenser water
brick:Entering_Condenser_Water_Temperature_Sensor,,,brick:Entering_Condenser_Water,,quantitykind:Temperature,brick:Sensor,,Measures the temperature of the entering condenser water
brick:Entering_Condenser_Water_Temperature_Setpoint,,,brick:Entering_Condenser_Water,,quantitykind:Temperature,brick:Setpoint,,The temperature setpoint for the entering condenser water
brick:Entering_Domestic_Hot_Water_Temperature_Sensor,,,brick:Entering_Domestic_Hot_Water,,quantitykind:Temperature,brick:Sensor,,
brick:Entering_Domestic_Hot_Water_Temperature_Setpoint,,,brick:Entering_Domestic_Hot_Water,,quantitykind:Temperature,brick:Setpoint,,
brick:Entering_High_Temperature_Hot_Water_Temperature_Sensor,,,brick:Entering_High_Temperature_Hot_Water,,quantitykind:Temperature,brick:Sensor,,Measures the temperature of high-temperature hot water enteringed to a hot water system
brick:Entering_Hot_Water_Flow_Sensor,,,brick:Entering_Hot_Water,,quantitykind:VolumeFlowRate,brick:Sensor,,Measures the rate of flow of hot entering water
brick:Entering_Hot_Water_Flow_Setpoint,,,brick:Entering_Hot_Water,,quantitykind:VolumeFlowRate,brick:Setpoint,,Sets the target flow rate of hot entering water
brick:Entering_Hot_Water_Temperature_High_Reset_Setpoint,,,brick:Entering_Hot_Water,,quantitykind:Temperature,brick:High_Reset_Setpoint,,
brick:Entering_Hot_Water_Temperature_Load_Shed_Status,,brick:Load_Shed,brick:Entering_Hot_Water,,quantitykind:Temperature,brick:Status,,
brick:Entering_Hot_Water_Temperature_Low_Reset_Setpoint,,,brick:Entering_Hot_Water,,quantitykind:Temperature,brick:Low_Reset_Setpoint,,
brick:Entering_Hot_Water_Temperature_Sensor,,,brick:Entering_Hot_Water,,quantitykind:Temperature,brick:Sensor,,Measures the temperature of water enteringed to a hot water system
brick:Entering_Hot_Water_Temperature_Setpoint,,,brick:Entering_Hot_Water,,quantitykind:Temperature,brick:Setpoint,,Sets the temperature of entering (downstream of the hot water load) hot water
brick:Entering_Medium_Temperature_Hot_Water_Temperature_High_Reset_Setpoint,,,brick:Entering_Medium_Temperature_Hot_Water,,quantitykind:Temperature,brick:High_Reset_Setpoint,,
brick:Entering_Medium_Temperature_Hot_Water_Temperature_Load_Shed_Setpoint,,brick:Load_Shed,brick:Entering_Medium_Temperature_Hot_Water,,quantitykind:Temperature,brick:Setpoint,,
brick:Entering_Medium_Temperature_Hot_Water_Temperature_Load_Shed_Status,,brick:Load_Shed,brick:Entering_Medium_Temperature_Hot_Water,,quantitykind:Temperature,brick:Status,,
brick:Entering_Medium_Temperature_Hot_Water_Temperature_Low_Reset_Setpoint,,,brick:Entering_Medium_Temperature_Hot_Water,,quantitykind:Temperature,brick:Low_Reset_Setpoint,,
brick:Entering_Medium_Temperature_Hot_Water_Temperature_Sensor,,,brick:Entering_Medium_Temperature_Hot_Water,,quantitykind:Temperature,brick:Sensor,,Measures the temperature of medium-temperature hot water entering a hot water system
brick:Entering_Water_Differential_Pressure_Deadband_Setpoint,,,brick:Entering_Water,brick:Differential,quantitykind:Pressure,brick:Deadband_Setpoint,,Sets the size of a deadband of differential pressure of entering water
brick:Entering_Water_Differential_Pressure_Integral_Time_Parameter,,,brick:Entering_Water,brick:Differential,quantitykind:Pressure,brick:Integral_Time_Parameter,,
brick:Entering_Water_Differential_Pressure_Proportional_Band_Parameter,,,brick:Entering_Water,brick:Differential,quantitykind:Pressure,brick:Proportional_Band_Parameter,,
brick:Entering_Water_Flow_Sensor,,,brick:Entering_Water,,quantitykind:VolumeFlowRate,brick:Sensor,,Measures the rate of flow of water entering a piece of equipment or system
brick:Entering_Water_Flow_Setpoint,,,brick:Entering_Water,,quantitykind:VolumeFlowRate,brick:Setpoint,,Sets the target flow rate of entering water
brick:Entering_Water_Pressure_Sensor,,,brick:Entering_Water,,quantitykind:Pressure,brick:Sensor,,Measures the water pressure at the entry point of a system.
brick:Entering_Water_Temperature_Alarm,,,brick:Entering_Water,,quantitykind:Temperature,brick:Alarm,,An alarm that indicates the off-normal conditions associated with temperature of the entering water.
brick:Entering_Water_Temperature_Deadband_Setpoint,,,brick:Entering_Water,,quantitykind:Temperature,brick:Deadband_Setpoint,,Sets the size of a deadband of temperature of entering water
brick:Entering_Water_Temperature_Integral_Time_Parameter,,,brick:Entering_Water,,quantitykind:Temperature,brick:Integral_Time_Parameter,,
brick:Entering_Water_Temperature_Proportional_Band_Parameter,,,brick:Entering_Water,,quantitykind:Temperature,brick:Proportional_Band_Parameter,,
brick:Entering_Water_Temperature_Sensor,,,brick:Entering_Water,,quantitykind:Temperature,brick:Sensor,,Measures the temperature of entering water
brick:Entering_Water_Temperature_Setpoint,,,brick:Entering_Water,,quantitykind:Temperature,brick:Setpoint,,Sets temperature of entering water
brick:Enthalpy_Sensor,,,,,quantitykind:Enthalpy,brick:Sensor,,Measures the total heat content of some substance
brick:Enthalpy_Setpoint,,,,,quantitykind:Enthalpy,brick:Setpoint,,Sets enthalpy
brick:Even_Month_Status,,,,,,,(deprecated),
brick:Exhaust_Air_Dewpoint_Sensor,,,brick:Exhaust_Air,,quantitykind:DewPointTemperature,brick:Sensor,,Measures dewpoint of exhaust air
brick:Exhaust_Air_Differential_Pressure_Sensor,,,brick:Exhaust_Air,brick:Differential,quantitykind:Pressure,brick:Sensor,,Measures the difference in pressure between an upstream and downstream of an air duct or other air conduit used to exhaust air from the building
brick:Exhaust_Air_Differential_Pressure_Setpoint,,,brick:Exhaust_Air,brick:Differential,quantitykind:Pressure,brick:Setpoint,,Sets the target air differential pressure between an upstream and downstream point in a exhaust air duct or conduit
brick:Exhaust_Air_Flow_Integral_Time_Parameter,,,brick:Exhaust_Air,,quantitykind:VolumeFlowRate,brick:Integral_Time_Parameter,,
brick:Exhaust_Air_Flow_Proportional_Band_Parameter,,,brick:Exhaust_Air,,quantitykind:VolumeFlowRate,brick:Proportional_Band_Parameter,,
brick:Exhaust_Air_Flow_Sensor,,,brick:Exhaust_Air,,quantitykind:VolumeFlowRate,brick:Sensor,,Measures the rate of flow of exhaust air
brick:Exhaust_Air_Flow_Setpoint,,,brick:Exhaust_Air,,quantitykind:VolumeFlowRate,brick:Setpoint,,Sets exhaust air flow rate
brick:Exhaust_Air_Humidity_Sensor,,,brick:Exhaust_Air,,quantitykind:RelativeHumidity,brick:Sensor,,Measures the relative humidity of exhaust air
brick:Exhaust_Air_Humidity_Setpoint,,,brick:Exhaust_Air,,quantitykind:RelativeHumidity,brick:Setpoint,,Humidity setpoint for exhaust air
brick:Exhaust_Air_Stack_Flow_Deadband_Setpoint,,brick:Exhaust_Air_Stack,,,quantitykind:VolumeFlowRate,brick:Deadband_Setpoint,,Sets the size of a deadband of exhaust air stack flow
brick:Exhaust_Air_Stack_Flow_Integral_Time_Parameter,,brick:Exhaust_Air_Stack,,,quantitykind:VolumeFlowRate,brick:Integral_Time_Parameter,,
brick:Exhaust_Air_Stack_Flow_Proportional_Band_Parameter,,brick:Exhaust_Air_Stack,,,quantitykind:VolumeFlowRate,brick:Proportional_Band_Parameter,,
brick:Exhaust_Air_Stack_Flow_Sensor,,brick:Exhaust_Air_Stack,,,quantitykind:VolumeFlowRate,brick:Sensor,,Measures the rate of flow of air in the exhaust air stack
brick:Exhaust_Air_Stack_Flow_Setpoint,,brick:Exhaust_Air_Stack,,,quantitykind:VolumeFlowRate,brick:Setpoint,,Sets exhaust air stack flow rate
brick:Exhaust_Air_Static_Pressure_Proportional_Band_Parameter,,,brick:Exhaust_Air,,quantitykind:StaticPressure,brick:Proportional_Band_Parameter,,
brick:Exhaust_Air_Static_Pressure_Sensor,,,brick:Exhaust_Air,,quantitykind:StaticPressure,brick:Sensor,,The static pressure of air within exhaust regions of an HVAC system
brick:Exhaust_Air_Static_Pressure_Setpoint,,,brick:Exhaust_Air,,quantitykind:StaticPressure,brick:Setpoint,,Sets static pressure of exhaust air
brick:Exhaust_Air_Temperature_Sensor,,,brick:Exhaust_Air,,quantitykind:Temperature,brick:Sensor,,Measures the temperature of exhaust air
brick:Exhaust_Air_Velocity_Pressure_Sensor,,,brick:Exhaust_Air,,quantitykind:DynamicPressure,brick:Sensor,,
brick:Failure_Alarm,,,,,,brick:Failure_Alarm,,"Alarms that indicate the failure of devices, equipment, systems and control loops"
brick:Fan_Command,,brick:Fan,,,,brick:Command,,Controls properties of fans
brick:Fan_On_Off_Status,,brick:Fan,,,brick:EnumerationKind-On_Off,brick:Status,,
brick:Fan_Speed_Command,,brick:Fan,,,quantitykind:Speed,brick:Command,,Controls the speed of fans
brick:Fan_Status,,brick:Fan,,,,brick:Status,,Indicates properties of fans
brick:Fault_Reset_Command,,,,,,brick:Fault_Reset_Command,,Clears a fault status
brick:Fault_Status,,,,,,brick:Fault_Status,,"Indicates the presence of a fault in a device, system or control loop"
brick:Filter_Air_Differential_Pressure_Sensor,,brick:Filter,brick:Air,brick:Differential,quantitykind:Pressure,brick:Sensor,,Measures the difference in air pressure before and after an air filter.
brick:Filter_Differential_Pressure_Sensor,,brick:Filter,,brick:Differential,quantitykind:Pressure,brick:Sensor,,Measures the difference in pressure on either side of a filter
brick:Filter_Reset_Command,,brick:Filter,,,,brick:Reset_Command,,
brick:Filter_Status,,brick:Filter,,,,brick:Status,,Indicates if a filter needs to be replaced
brick:Filter_Water_Differential_Pressure_Sensor,,brick:Filter,brick:Water,brick:Differential,quantitykind:Pressure,brick:Sensor,,Measures the difference in water pressure before and after a water filter.
brick:Fire_Sensor,,,brick:Fire,,,brick:Sensor,,Measures the presence of fire
brick:Flow_Sensor,,,,,quantitykind:VolumeFlowRate,brick:Sensor,,Measures the rate of flow of some substance
brick:Flow_Setpoint,,,,,quantitykind:VolumeFlowRate,brick:Setpoint,,Sets flow
brick:Formaldehyde_Level_Sensor,,,brick:CH2O,,,brick:Sensor,Level,Measures the concentration of formaldehyde in air
brick:Freeze_Status,,,,,,,(deprecated),Indicates if a substance contained within a vessel has frozen
brick:Frequency_Command,,,,,quantitykind:Frequency,brick:Command,,Controls the frequency of a device's operation (e.g. rotational frequency)
brick:Frequency_Sensor,,,,,quantitykind:Frequency,brick:Sensor,,"Measures the frequency of a phenomenon or aspect of a phenomenon, e.g. the frequency of a fan turning"
brick:Frequency_Setpoint,,,,,quantitykind:Frequency,brick:Setpoint,,Sets frequency
brick:Fresh_Air_Setpoint_Limit,,,brick:Fresh_Air,,,brick:Setpoint_Limit,,A parameter that places a lower or upper bound on the range of permitted values of a Fresh_Air_Setpoint.
brick:Frost_Sensor,,,brick:Frost,,,brick:Sensor,,Senses the presence of frost or conditions that may cause frost
brick:Fume_Hood_Air_Flow_Sensor,,brick:Fume_Hood,brick:Air,,quantitykind:VolumeFlowRate,brick:Sensor,,Measures the rate of flow of air in a fume hood
brick:Gain_Parameter,,,,,,brick:Gain_Parameter,,
brick:Gas_Sensor,,,brick:Gas,,,brick:Sensor,,Measures gas concentration (other than CO2)
brick:Gauge_Pressure_Sensor,,,,,quantitykind:GaugePressure,brick:Sensor,,Pressure sensor which is zero-referenced against ambient air pressure
brick:Generation_Sensor,,,,,,brick:Generation_Sensor,,A sensor measuring how much something has been generated.
brick:Hail_Sensor,,,brick:Hail,,,brick:Sensor,,Measures hail in terms of its size and damage potential
brick:Heat_Exchanger_Leaving_Water_Temperature_Sensor,,brick:Heat_Exchanger,brick:Leaving_Water,,quantitykind:Temperature,brick:Sensor,,
brick:Heat_Exchanger_System_Enable_Status,,brick:Heat_Exchanger_System,,,,brick:Enable_Status,,Indicates if the heat exchanger system has been enabled
brick:Heat_Sink_Temperature_Sensor,,,,,,,(deprecated),Measure temperature of the heat sink on a device such as a VFD.
brick:Heating_Command,,brick:Heating,,,,brick:Command,,Controls the amount of heating to be delivered (typically as a proportion of total heating output)
brick:Heating_Demand_Sensor,,brick:Heating,,,,brick:Demand_Sensor,,Measures the amount of power consumed by a heating process; typically found by multiplying the tonnage of a unit (e.g. RTU) by the efficiency rating in kW/ton
brick:Heating_Demand_Setpoint,,brick:Heating,,,,brick:Demand_Setpoint,,Sets the rate required for heating
brick:Heating_Discharge_Air_Flow_Setpoint,,brick:Heating,brick:Discharge_Air,,quantitykind:VolumeFlowRate,brick:Setpoint,,Sets discharge air flow for heating
brick:Heating_Discharge_Air_Temperature_Deadband_Setpoint,,brick:Heating,brick:Discharge_Air,,quantitykind:Temperature,brick:Deadband_Setpoint,,Sets the size of a deadband of temperature of heating discharge air
brick:Heating_Discharge_Air_Temperature_Integral_Time_Parameter,,brick:Heating,brick:Discharge_Air,,quantitykind:Temperature,brick:Integral_Time_Parameter,,
brick:Heating_Discharge_Air_Temperature_Proportional_Band_Parameter,,brick:Heating,brick:Discharge_Air,,quantitykind:Temperature,brick:Proportional_Band_Parameter,,
brick:Heating_Enable_Command,,brick:Heating,,,,brick:Enable_Command,,"Command that enables heating functionality in equipment but certain condition(s) must be met first before actively heating. For the actively heating control, see Heating_Command."
brick:Heating_Mode_Status,,brick:Heating,,,brick:EnumerationKind-Mode,brick:Status,,"Indicates whether a system, device or control loop is in a heating mode"
brick:Heating_Start_Stop_Status,,brick:Heating,,,brick:EnumerationKind-Start_Stop,brick:Status,,
brick:Heating_Supply_Air_Flow_Setpoint,,brick:Heating,brick:Supply_Air,,quantitykind:VolumeFlowRate,brick:Setpoint,,Sets supply air flow rate for heating
brick:Heating_Supply_Air_Temperature_Deadband_Setpoint,,brick:Heating,brick:Supply_Air,,quantitykind:Temperature,brick:Deadband_Setpoint,,Sets the size of a deadband of temperature of supply air for heating
brick:Heating_Supply_Air_Temperature_Integral_Time_Parameter,,brick:Heating,brick:Supply_Air,,quantitykind:Temperature,brick:Integral_Time_Parameter,,
brick:Heating_Supply_Air_Temperature_Proportional_Band_Parameter,,brick:Heating,brick:Supply_Air,,quantitykind:Temperature,brick:Proportional_Band_Parameter,,
brick:Heating_Temperature_Setpoint,,brick:Heating,,,quantitykind:Temperature,brick:Setpoint,,Sets temperature for heating
brick:Heating_Thermal_Power_Sensor,,brick:Heating,,,quantitykind:Power,brick:Sensor,Thermal,
brick:Heating_Zone_Air_Temperature_Setpoint,,brick:Heating,brick:Zone_Air,,quantitykind:Temperature,brick:Setpoint,,The heating setpoint for a specific zone in a building.
brick:High_Air_Flow_Alarm,,,brick:Air,,quantitykind:VolumeFlowRate,brick:High_Alarm,,An alarm that indicates that the air flow is higher than normal.
brick:High_CO2_Alarm,,,brick:CO2,,,brick:High_Alarm,,A device that indicates high concentration of carbon dioxide.
brick:High_Discharge_Air_Temperature_Alarm,,,brick:Discharge_Air,,quantitykind:Temperature,brick:High_Alarm,,An alarm that indicates that discharge air temperature is too high
brick:High_Head_Pressure_Alarm,,,,,,,(deprecated),An alarm that indicates a high pressure generated on the output side of a gas compressor in a refrigeration or air conditioning system.
brick:High_Humidity_Alarm,,,,,quantitykind:RelativeHumidity,brick:High_Alarm,,An alarm that indicates high concentration of water vapor in the air.
brick:High_Humidity_Alarm_Parameter,,,,,quantitykind:RelativeHumidity,brick:High_Alarm_Parameter,,A parameter determining the humidity level at which to trigger a high humidity alarm
brick:High_Outside_Air_Lockout_Temperature_Differential_Parameter,,,,,,,(deprecated),The upper bound of the outside air temperature lockout range
brick:High_Return_Air_Temperature_Alarm,,,brick:Return_Air,,quantitykind:Temperature,brick:High_Alarm,,An alarm that indicates that return air temperature is too high
brick:High_Static_Pressure_Cutout_Setpoint_Limit,,,,,,,(deprecated),A parameter that places a lower or upper bound on the range of permitted values of a High_Static_Pressure_Cutout_Setpoint.
brick:High_Supply_Air_Temperature_Alarm,,,brick:Supply_Air,,quantitykind:Temperature,brick:High_Alarm,,
brick:High_Temperature_Alarm,,,,,quantitykind:Temperature,brick:High_Alarm,,An alarm that indicates high temperature.
brick:High_Temperature_Alarm_Parameter,,,,,quantitykind:Temperature,brick:High_Alarm_Parameter,,A parameter determining the temperature level at which to trigger a high temperature alarm
brick:Hold_Status,,,,,,,(deprecated),
brick:Hot_Water_Differential_Pressure_Deadband_Setpoint,,,brick:Hot_Water,brick:Differential,quantitykind:Pressure,brick:Deadband_Setpoint,,Sets the size of a deadband of differential pressure of hot water
brick:Hot_Water_Differential_Pressure_Integral_Time_Parameter,,,brick:Hot_Water,brick:Differential,quantitykind:Pressure,brick:Integral_Time_Parameter,,
brick:Hot_Water_Differential_Pressure_Load_Shed_Reset_Status,,brick:Load_Shed,brick:Hot_Water,brick:Differential,quantitykind:Pressure,brick:Reset_Status,,
brick:Hot_Water_Differential_Pressure_Load_Shed_Status,,brick:Load_Shed,brick:Hot_Water,brick:Differential,quantitykind:Pressure,brick:Status,,
brick:Hot_Water_Differential_Pressure_Proportional_Band_Parameter,,,brick:Hot_Water,brick:Differential,quantitykind:Pressure,brick:Proportional_Band_Parameter,,
brick:Hot_Water_Differential_Pressure_Sensor,,,brick:Hot_Water,brick:Differential,quantitykind:Pressure,brick:Sensor,,Measures the difference in water pressure on either side of a hot water valve
brick:Hot_Water_Differential_Pressure_Setpoint,,,brick:Hot_Water,brick:Differential,quantitykind:Pressure,brick:Setpoint,,Sets the target water differential pressure between an upstream and downstream point in a water pipe or conduit used to carry hot water
brick:Hot_Water_Differential_Temperature_Sensor,,,brick:Hot_Water,brick:Differential,quantitykind:Temperature,brick:Sensor,,Measures the difference in temperature between the entering water to the boiler or other water heating device and leaving water from the same boiler or other water heating device
brick:Hot_Water_Flow_Sensor,,,brick:Hot_Water,,quantitykind:VolumeFlowRate,brick:Sensor,,Measures the rate of flow in a hot water circuit
brick:Hot_Water_Flow_Setpoint,,,brick:Hot_Water,,quantitykind:VolumeFlowRate,brick:Setpoint,,Sets the target flow rate of hot water
brick:Hot_Water_Gauge_Pressure_Sensor,,,brick:Hot_Water,,quantitykind:GaugePressure,brick:Sensor,,Sensor measuring the gauge pressure (zero-referenced against ambient air pressure) of hot water
brick:Hot_Water_Static_Pressure_Setpoint,,,brick:Hot_Water,,quantitykind:StaticPressure,brick:Setpoint,,Sets static pressure of hot air
brick:Hot_Water_System_Enable_Command,,brick:Hot_Water_System,,,,brick:Enable_Command,,Enables operation of the hot water system
brick:Hot_Water_Temperature_Setpoint,,,brick:Hot_Water,,quantitykind:Temperature,brick:Setpoint,,Sets the temperature of hot water
brick:Hot_Water_Usage_Sensor,,,brick:Hot_Water,,,brick:Usage_Sensor,,"Measures the amount of hot water that is consumed, over some period of time"
brick:Humidification_Start_Stop_Status,,brick:Humidification,,,brick:EnumerationKind-Start_Stop,brick:Status,,
brick:Humidifier_Fault_Status,,brick:Humidifier,,,,brick:Fault_Status,,Indicates the presence of a fault in a humidifier
brick:Humidify_Command,,brick:Humidification,,,,brick:Enable_Command,,
brick:Humidity_Alarm,,,,,quantitykind:RelativeHumidity,brick:Alarm,,An alarm that indicates the off-normal conditions associated with the concentration of water vapor in the air.
brick:Humidity_Deadband_Setpoint,,,,,quantitykind:RelativeHumidity,brick:Deadband_Setpoint,,Sets the size of a deadband of humidity
brick:Humidity_Parameter,,,,,quantitykind:RelativeHumidity,brick:Parameter,,Parameters relevant to humidity-related systems and points
brick:Humidity_Sensor,,,,,quantitykind:RelativeHumidity,brick:Sensor,,Measures the concentration of water vapor in air
brick:Humidity_Setpoint,,,,,quantitykind:RelativeHumidity,brick:Setpoint,,Sets humidity
brick:Humidity_Tolerance_Parameter,,,,,quantitykind:RelativeHumidity,brick:Tolerance_Parameter,,A parameter determining the difference between upper and lower limits of humidity.
brick:Ice_Tank_Leaving_Water_Temperature_Sensor,,brick:Ice_Tank,brick:Leaving_Water,,quantitykind:Temperature,brick:Sensor,,Measures the temperature of water leaving an ice tank
brick:Illuminance_Sensor,,,,,quantitykind:Illuminance,brick:Sensor,,"Measures the total luminous flux incident on a surface, per unit area"
brick:Illuminance_Setpoint,,,,,quantitykind:Illuminance,brick:Setpoint,,Target Illuminance of the zone.
brick:Imbalance_Sensor,,,,,,brick:Sensor,Imbalance,A sensor which measures difference (imbalance) between phases of an electrical system
brick:Inside_Face_Surface_Temperature_Sensor,,,,,quantitykind:Temperature,brick:Sensor,Inside Face Surface,Measures the inside surface (relative to the space) of the radiant panel of the radiant heating and cooling HVAC system.
brick:Inside_Face_Surface_Temperature_Setpoint,,,,,quantitykind:Temperature,brick:Setpoint,Inside Face Surface,Sets temperature for the inside face surface temperature of the radiant panel.
brick:Intake_Air_Temperature_Sensor,,,brick:Intake_Air,,quantitykind:Temperature,brick:Sensor,,Measures air at the interface between the building and the outside
brick:Integral_Gain_Parameter,,,,,,brick:Integral_Gain_Parameter,,
brick:Integral_Time_Parameter,,,,,,brick:Integral_Time_Parameter,,
brick:Last_Fault_Code_Status,,,,,,,(deprecated),Indicates the last fault code that occurred
brick:Lead_Lag_Command,,,,,,brick:Command,Lead Lag,Enables lead/lag operation
brick:Lead_Lag_Status,,,,,,brick:Status,Lead Lag,Indicates if lead/lag operation is enabled
brick:Lead_On_Off_Command,,,,,brick:EnumerationKind-On_Off,brick:Command,Lead,"Controls the active/inactive status of the ""lead"" part of a lead/lag system"
brick:Leak_Alarm,,,,,,brick:Leak_Alarm,,An alarm that indicates leaks occured in systems containing fluids
brick:Leaving_Chilled_Water_Flow_Sensor,,,brick:Leaving_Chilled_Water,,quantitykind:VolumeFlowRate,brick:Sensor,,Measures the rate of flow of chilled leaving water
brick:Leaving_Chilled_Water_Flow_Setpoint,,,brick:Leaving_Chilled_Water,,quantitykind:VolumeFlowRate,brick:Setpoint,,Sets the target flow rate of chilled leaving water
brick:Leaving_Chilled_Water_Temperature_Sensor,,,brick:Leaving_Chilled_Water,,quantitykind:Temperature,brick:Sensor,,Measures the temperature of chilled water that is supplied from a chiller
brick:Leaving_Chilled_Water_Temperature_Setpoint,,,brick:Leaving_Chilled_Water,,quantitykind:Temperature,brick:Setpoint,,Temperature setpoint for leaving chilled water
brick:Leaving_Condenser_Water_Flow_Sensor,,,brick:Leaving_Condenser_Water,,quantitykind:VolumeFlowRate,brick:Sensor,,Measures the flow of the leaving condenser water
brick:Leaving_Condenser_Water_Temperature_Sensor,,,brick:Leaving_Condenser_Water,,quantitykind:Temperature,brick:Sensor,,Measures the temperature of the leaving condenser water
brick:Leaving_Condenser_Water_Temperature_Setpoint,,,brick:Leaving_Condenser_Water,,quantitykind:Temperature,brick:Setpoint,,The temperature setpoint for the leaving condenser water
brick:Leaving_Domestic_Hot_Water_Temperature_Sensor,,,brick:Leaving_Domestic_Hot_Water,,quantitykind:Temperature,brick:Sensor,,Measures the temperature of domestic water supplied by a hot water system
brick:Leaving_Domestic_Hot_Water_Temperature_Setpoint,,,brick:Leaving_Domestic_Hot_Water,,quantitykind:Temperature,brick:Setpoint,,Sets temperature of leavinging part of domestic hot water
