Term,Definition,See Also
https://brickschema.org/schema/Brick#Discharge_Air_Static_Pressure_Sensor,The static pressure of air within discharge regions of an HVAC system,
https://brickschema.org/schema/Brick#Discharge_Air_Static_Pressure_Setpoint,Sets static pressure of discharge air,
https://brickschema.org/schema/Brick#Discharge_Air_Static_Pressure_Step_Parameter,,
https://brickschema.org/schema/Brick#Discharge_Air_Temperature_Alarm,An alarm that indicates the off-normal conditions associated with the temperature of discharge air.,
https://brickschema.org/schema/Brick#Discharge_Air_Temperature_Cooling_Setpoint,Sets temperature of discharge air for cooling,
https://brickschema.org/schema/Brick#Discharge_Air_Temperature_Deadband_Setpoint,Sets the size of a deadband of temperature of discharge air,
https://brickschema.org/schema/Brick#Discharge_Air_Temperature_Heating_Setpoint,Sets temperature of discharge air for heating,
https://brickschema.org/schema/Brick#Discharge_Air_Temperature_High_Reset_Setpoint,,
https://brickschema.org/schema/Brick#Discharge_Air_Temperature_Low_Reset_Setpoint,,
https://brickschema.org/schema/Brick#Discharge_Air_Temperature_Proportional_Band_Parameter,,
https://brickschema.org/schema/Brick#Discharge_Air_Temperature_Reset_Differential_Setpoint,,
https://brickschema.org/schema/Brick#Discharge_Air_Temperature_Reset_High_Setpoint,,
https://brickschema.org/schema/Brick#Discharge_Air_Temperature_Reset_Low_Setpoint,,
https://brickschema.org/schema/Brick#Discharge_Air_Temperature_Sensor,Measures the temperature of discharge air,
https://brickschema.org/schema/Brick#Discharge_Air_Temperature_Setpoint,Sets temperature of discharge air,
https://brickschema.org/schema/Brick#Discharge_Air_Temperature_Step_Parameter,,
https://brickschema.org/schema/Brick#Discharge_Air_Velocity_Pressure_Sensor,,
https://brickschema.org/schema/Brick#Discharge_Air_Wet_Bulb_Temperature_Sensor,Measures the discharge air wetbulb temperature.,
https://brickschema.org/schema/Brick#Discharge_Chilled_Water,,
https://brickschema.org/schema/Brick#Discharge_Fan,Fan moving air discharged from HVAC vents,
https://brickschema.org/schema/Brick#Discharge_Fan_Differential_Speed_Setpoint,,
https://brickschema.org/schema/Brick#Discharge_Water,,
https://brickschema.org/schema/Brick#Discharge_Water_Differential_Pressure_Deadband_Setpoint,Sets the size of a deadband of differential pressure of discharge water,
https://brickschema.org/schema/Brick#Discharge_Water_Differential_Pressure_Integral_Time_Parameter,,
https://brickschema.org/schema/Brick#Discharge_Water_Differential_Pressure_Proportional_Band_Parameter,,
https://brickschema.org/schema/Brick#Discharge_Water_Flow_Sensor,Measures the rate of flow of discharge water,
https://brickschema.org/schema/Brick#Discharge_Water_Flow_Setpoint,See Supply_Water_Flow_Setpoint.,
https://brickschema.org/schema/Brick#Discharge_Water_Temperature_Alarm,An alarm that indicates the off-normal conditions associated with temperature of the discharge water.,
https://brickschema.org/schema/Brick#Discharge_Water_Temperature_Proportional_Band_Parameter,,
https://brickschema.org/schema/Brick#Discharge_Water_Temperature_Sensor,Measures the temperature of discharge water,
https://brickschema.org/schema/Brick#Discharge_Water_Temperature_Setpoint,Sets temperature of discharge water,
https://brickschema.org/schema/Brick#Disconnect_Switch,Building power is most commonly provided by utility company through a master disconnect switch (sometimes called a service disconnect) in the main electrical room of a building. The Utility Company provided master disconnect switch often owns or restricts access to this switch. There can also be other cases where a disconnect is placed into an electrical system to allow service cut-off to a portion of the building.,
https://brickschema.org/schema/Brick#Displacement_Ventilation,An air distribution system that delivers conditioned and/or ventilation air at or near floor level using low velocity diffusers.,
https://brickschema.org/schema/Brick#Distribution_Frame,"A class of spaces where the cables carrying signals meet and connect, e.g. a wiring closet or a broadcast downlink room",
https://brickschema.org/schema/Brick#DOAS,See Dedicated_Outdoor_Air_System,
https://brickschema.org/schema/Brick#Domestic_Hot_Water_Supply_Temperature_Sensor,Measures the temperature of domestic water supplied by a hot water system,
https://brickschema.org/schema/Brick#Domestic_Hot_Water_Supply_Temperature_Setpoint,Sets temperature of supplying part of domestic hot water,
https://brickschema.org/schema/Brick#Domestic_Hot_Water_System,"The equipment, devices and conduits that handle the production and distribution of domestic hot water in a building",
https://brickschema.org/schema/Brick#Domestic_Hot_Water_System_Enable_Command,Enables operation of the domestic hot water system,
https://brickschema.org/schema/Brick#Domestic_Hot_Water_Temperature_Setpoint,Sets temperature of domestic hot water,
https://brickschema.org/schema/Brick#Domestic_Hot_Water_Valve,A valve regulating the flow of domestic hot water,
https://brickschema.org/schema/Brick#Domestic_Water,"Tap water for drinking, washing, cooking, and flushing of toliets",
https://brickschema.org/schema/Brick#Drive_Ready_Status,"Indicates if a hard drive or other storage device is ready to be used, e.g. in the context of RAID",
https://brickschema.org/schema/Brick#Dry_Bulb_Temperature,"The temperature of air measured by a thermometer freely exposed to the air, but shielded from radiation and moisture. (https://en.wikipedia.org/wiki/Dry-bulb_temperature)",
https://brickschema.org/schema/Brick#Duration_Sensor,Measures the duration of a phenomenon or event,
https://brickschema.org/schema/Brick#DV,See Displacement_Ventilation,
https://brickschema.org/schema/Brick#Economizer,"Device that, on proper variable sensing, initiates control signals or actions to conserve energy. A control system that reduces the mechanical heating and cooling requirement.",
https://brickschema.org/schema/Brick#Economizer_Damper,A damper that is part of an economizer that is used to module the flow of air,
https://brickschema.org/schema/Brick#Effective_Air_Temperature_Cooling_Setpoint,"The current instantaneous value of the air temperature cooling setpoint being used for control after taking into account factors such as profiles, ramps, offsets, or any mathematical operations that may be applied.",
https://brickschema.org/schema/Brick#Effective_Air_Temperature_Heating_Setpoint,"The current instantaneous value of the air temperature heating setpoint being used for control after taking into account factors such as profiles, ramps, offsets, or any mathematical operations that may be applied.",
https://brickschema.org/schema/Brick#Effective_Air_Temperature_Setpoint,"The current instantaneous value of the air temperature setpoint being used for control after taking into account factors such as profiles, ramps, offsets, or any mathematical operations that may be applied.",
https://brickschema.org/schema/Brick#Electric_Baseboard_Radiator,Electric heating device located at or near the floor,
https://brickschema.org/schema/Brick#Electric_Current,,
https://brickschema.org/schema/Brick#Electric_Energy,,
https://brickschema.org/schema/Brick#Electric_Power,"Electric Power is the rate at which electrical energy is transferred by an electric circuit. In the simple case of direct current circuits, electric power can be calculated as the product of the potential difference in the circuit (V) and the amount of current flowing in the circuit (I): (P = VI), where (P) is the power, (V) is the potential difference, and (I) is the current. However, in general electric power is calculated by taking the integral of the vector cross-product of the electrical and magnetic fields over a specified area.",
https://brickschema.org/schema/Brick#Electric_Radiator,Electric heating device,
https://brickschema.org/schema/Brick#Electric_Voltage,,
https://brickschema.org/schema/Brick#Electrical_Meter,A meter that measures the usage or consumption of electricity,
https://brickschema.org/schema/Brick#Electrical_Power_Sensor,Measures the amount of instantaneous electric power consumed,
https://brickschema.org/schema/Brick#Electrical_Room,A class of service rooms that house electrical equipment for a building,
https://brickschema.org/schema/Brick#Electrical_System,Devices that serve or are part of the electrical subsystem in the building,
https://brickschema.org/schema/Brick#Elevator,"A device that provides vertical transportation between floors, levels or decks of a building, vessel or other structure",https://en.wikipedia.org/wiki/Elevator
https://brickschema.org/schema/Brick#Elevator_Shaft,The vertical space in which an elevator ascends and descends,
https://brickschema.org/schema/Brick#Elevator_Space,The vertical space in whcih an elevator ascends and descends,
https://brickschema.org/schema/Brick#Embedded_Surface_System,Radiant panel heating and cooling system where the energy heat source or sink is embedded in a radiant layer which is thermally insulated from the building structure.,https://www.rehva.eu/eshop/detail/no07-low-temperature-heating-and-high-temperature-cooling
https://brickschema.org/schema/Brick#Embedded_Temperature_Sensor,Measures the internal temperature of the radiant layer of the radiant heating and cooling HVAC system.,
https://brickschema.org/schema/Brick#Embedded_Temperature_Setpoint,"Sets temperature for the internal material, e.g. concrete slab, of the radiant panel.",
https://brickschema.org/schema/Brick#Emergency_Alarm,Alarms that indicate off-normal conditions associated with emergency systems,
https://brickschema.org/schema/Brick#Emergency_Generator_Alarm,An alarm that indicates off-normal conditions associated with an emergency generator,
https://brickschema.org/schema/Brick#Emergency_Generator_Status,Indicates if an emergency generator is active,
https://brickschema.org/schema/Brick#Emergency_Power_Off_System,A system that can power down a single piece of equipment or a single system from a single point,
https://brickschema.org/schema/Brick#Emergency_Push_Button_Status,Indicates if an emergency button has been pushed,
https://brickschema.org/schema/Brick#Employee_Entrance_Lobby,An open space near an entrance that is typicaly only used for employees,
https://brickschema.org/schema/Brick#Enable_Command,Commands that enable functionality,
https://brickschema.org/schema/Brick#Enable_Differential_Enthalpy_Command,Enables the use of differential enthalpy control,
https://brickschema.org/schema/Brick#Enable_Differential_Temperature_Command,Enables the use of differential temperature control,
https://brickschema.org/schema/Brick#Enable_Fixed_Enthalpy_Command,Enables the use of fixed enthalpy control,
https://brickschema.org/schema/Brick#Enable_Fixed_Temperature_Command,Enables the use of fixed temperature control,
https://brickschema.org/schema/Brick#Enable_Hot_Water_System_Outside_Air_Temperature_Setpoint,Enables hot water system when outside air temperature reaches the indicated value,
https://brickschema.org/schema/Brick#Enable_Status,Indicates if a system or piece of functionality has been enabled,
https://brickschema.org/schema/Brick#Enclosed_Office,A space for individuals to work with walls and a door,
https://brickschema.org/schema/Brick#Energy,,
https://brickschema.org/schema/Brick#Energy_Sensor,Measures energy consumption,
https://brickschema.org/schema/Brick#Energy_Storage,Devices or equipment that store energy in its various forms,
https://brickschema.org/schema/Brick#Energy_Usage_Sensor,Measures the total amount of energy used over some period of time,
https://brickschema.org/schema/Brick#Energy_Zone,A space or group of spaces that are managed or monitored as one unit for energy purposes,
https://brickschema.org/schema/Brick#Entering_Air_Temperature_Sensor,Measures the temperature of air entering into a piece of HVAC equipment.,
https://brickschema.org/schema/Brick#Entering_Air_Temperature_Setpoint,Sets temperature of entering air,
https://brickschema.org/schema/Brick#Entering_Water,,
https://brickschema.org/schema/Brick#Entering_Water_Flow_Sensor,Measures the rate of flow of water entering a piece of equipment or device.,
https://brickschema.org/schema/Brick#Entering_Water_Flow_Setpoint,Sets flow rate of water entering a piece of equipment or device.,
https://brickschema.org/schema/Brick#Entering_Water_Temperature_Sensor,Measures the temperature of water entering a condenser,
https://brickschema.org/schema/Brick#Entering_Water_Temperature_Setpoint,Sets temperature of entering water,
https://brickschema.org/schema/Brick#Enthalpy,"(also known as heat content), thermodynamic quantity equal to the sum of the internal energy of a system plus the product of the pressure volume work done on the system. H = E + pv, where H = enthalpy or total heat content, E = internal energy of the system, p = pressure, and v = volume. (Compare to [[specific enthalpy]].)",
https://brickschema.org/schema/Brick#Enthalpy_Sensor,Measures the total heat content of some substance,
https://brickschema.org/schema/Brick#Enthalpy_Setpoint,Sets enthalpy,
https://brickschema.org/schema/Brick#Entrance,The location and space of a building where people enter and exit the building,
https://brickschema.org/schema/Brick#Environment_Box,"(also known as climatic chamber), enclosed space designed to create a particular environment.",
https://brickschema.org/schema/Brick#Equipment,"devices that serve all or part of the building and may include electric power, lighting, transportation, or service water heating, including, but not limited to, furnaces, boilers, air conditioners, heat pumps, chillers, water heaters, lamps, luminaires, ballasts, elevators, escalators, or other devices or installations.",
https://brickschema.org/schema/Brick#Equipment_Room,A telecommunications room where equipment that serves the building is stored,
https://brickschema.org/schema/Brick#ESS,See Embedded_Surface_System,
https://brickschema.org/schema/Brick#Evaporative_Heat_Exchanger,,
https://brickschema.org/schema/Brick#Even_Month_Status,,
https://brickschema.org/schema/Brick#Exercise_Room,An indoor room used for exercise and physical activities,
https://brickschema.org/schema/Brick#Exhaust_Air,"air that must be removed from a space due to contaminants, regardless of pressurization",
https://brickschema.org/schema/Brick#Exhaust_Air_Dewpoint_Sensor,Measures dewpoint of exhaust air,
https://brickschema.org/schema/Brick#Exhaust_Air_Differential_Pressure_Sensor,Measures the difference in pressure between upstream and downstream of one or more fans in the exhaust air loop.,
https://brickschema.org/schema/Brick#Exhaust_Air_Flow_Integral_Time_Parameter,,
https://brickschema.org/schema/Brick#Exhaust_Air_Flow_Proportional_Band_Parameter,,
https://brickschema.org/schema/Brick#Exhaust_Air_Flow_Sensor,Measures the rate of flow of exhaust air,
https://brickschema.org/schema/Brick#Exhaust_Air_Flow_Setpoint,Sets exhaust air flow rate,
https://brickschema.org/schema/Brick#Exhaust_Air_Humidity_Sensor,Measures the relative humidity of exhaust air,
https://brickschema.org/schema/Brick#Exhaust_Air_Humidity_Setpoint,Humidity setpoint for exhaust air,
https://brickschema.org/schema/Brick#Exhaust_Air_Stack_Flow_Deadband_Setpoint,Sets the size of a deadband of exhaust air stack flow,
https://brickschema.org/schema/Brick#Exhaust_Air_Stack_Flow_Integral_Time_Parameter,,
https://brickschema.org/schema/Brick#Exhaust_Air_Stack_Flow_Proportional_Band_Parameter,,
https://brickschema.org/schema/Brick#Exhaust_Air_Stack_Flow_Sensor,Measures the rate of flow of air in the exhaust air stack,
https://brickschema.org/schema/Brick#Exhaust_Air_Stack_Flow_Setpoint,Sets exhaust air stack flow rate,
https://brickschema.org/schema/Brick#Exhaust_Air_Static_Pressure_Proportional_Band_Parameter,,
https://brickschema.org/schema/Brick#Exhaust_Air_Static_Pressure_Sensor,The static pressure of air within exhaust regions of an HVAC system,
https://brickschema.org/schema/Brick#Exhaust_Air_Static_Pressure_Setpoint,Sets static pressure of exhaust air,
https://brickschema.org/schema/Brick#Exhaust_Air_Temperature_Sensor,Measures the temperature of exhaust air,
https://brickschema.org/schema/Brick#Exhaust_Air_Velocity_Pressure_Sensor,,
https://brickschema.org/schema/Brick#Exhaust_Air_Wet_Bulb_Temperature_Sensor,Measures the exhaust air wetbulb temperature.,
https://brickschema.org/schema/Brick#Exhaust_Damper,A damper that modulates the flow of exhaust air,
https://brickschema.org/schema/Brick#Exhaust_Fan,Fan moving exhaust air -- air that must be removed from a space due to contaminants,
https://brickschema.org/schema/Brick#Exhaust_Fan_Disable_Command,Disables operation of the exhaust fan,
https://brickschema.org/schema/Brick#Exhaust_Fan_Enable_Command,Enables operation of the exhaust fan,
https://brickschema.org/schema/Brick#Failure_Alarm,"Alarms that indicate the failure of devices, equipment, systems and control loops",
https://brickschema.org/schema/Brick#Fan,"Any device with two or more blades or vanes attached to a rotating shaft used to produce an airflow for the purpose of comfort, ventilation, exhaust, heating, cooling, or any other gaseous transport.",
https://brickschema.org/schema/Brick#Fan_Coil_Unit,Terminal device consisting of a heating and/or cooling heat exchanger or 'coil' and fan that is used to control the temperature in the space where it is installed,https://en.wikipedia.org/wiki/Fan_coil_unit
https://brickschema.org/schema/Brick#Fan_Status,Indicates properties of fans,
https://brickschema.org/schema/Brick#Fan_VFD,Variable-frequency drive for fans,
https://brickschema.org/schema/Brick#Fault_Reset_Command,Clears a fault status,
https://brickschema.org/schema/Brick#Fault_Status,"Indicates the presence of a fault in a device, system or control loop",
https://brickschema.org/schema/Brick#FCU,See Fan_Coil_Unit,
https://brickschema.org/schema/Brick#feeds,The subject is upstream of the object in the context of some sequential process; some media is passed between them,
https://brickschema.org/schema/Brick#feedsAir,Passes air,
https://brickschema.org/schema/Brick#Field_Of_Play,"The area of a stadium where athletic events occur, e.g. the soccer pitch",
https://brickschema.org/schema/Brick#Filter,Device to remove gases from a mixture of gases or to remove solid material from a fluid,
https://brickschema.org/schema/Brick#Filter_Differential_Pressure_Sensor,Measures the difference in pressure on either side of a filter,
https://brickschema.org/schema/Brick#Filter_Reset_Command,,
https://brickschema.org/schema/Brick#Filter_Status,Indicates if a filter needs to be replaced,
https://brickschema.org/schema/Brick#Final_Filter,"The last, high-efficiency filter installed in a sequence to remove the finest particulates from the substance being filtered",
https://brickschema.org/schema/Brick#Fire_Control_Panel,A panel-mounted device that provides status and control of a fire safety system,
https://brickschema.org/schema/Brick#Fire_Safety_System,"A system containing devices and equipment that monitor, detect and suppress fire hazards",https://assetinsights.net/Glossary/G_Fire_Safety_System.html
https://brickschema.org/schema/Brick#Fire_Sensor,Measures the presence of fire,
https://brickschema.org/schema/Brick#Fire_Zone,combustion chamber in a furnace or boiler.,
https://brickschema.org/schema/Brick#First_Aid_Room,A room for a person with minor injuries can be treated or temporarily treated until transferred to a more advanced medical facility,
https://brickschema.org/schema/Brick#Floor,"A level, typically representing a horizontal aggregation of spaces that are vertically bound. (referring to IFC)",
https://brickschema.org/schema/Brick#Flow,,
https://brickschema.org/schema/Brick#Flow_Loss,,
https://brickschema.org/schema/Brick#Flow_Sensor,Measures the rate of flow of some substance,
https://brickschema.org/schema/Brick#Flow_Setpoint,Sets flow,
https://brickschema.org/schema/Brick#Fluid,"substance, as a liquid or gas, that is capable of flowing and that changes shape when acted on by a force.",
https://brickschema.org/schema/Brick#Food_Service_Room,"A space used in the production, storage, serving, or cleanup of food and beverages",
https://brickschema.org/schema/Brick#Freeze_Status,Indicates if a substance contained within a vessel has frozen,
https://brickschema.org/schema/Brick#Freezer,"cold chamber usually kept at a temperature of 22°F to 31°F (–5°C to –1°C), with high-volume air circulation.",
https://brickschema.org/schema/Brick#Frequency,"Frequency is the number of occurrences of a repeating event per unit time. The repetition of the events may be periodic (that is. the length of time between event repetitions is fixed) or aperiodic (i.e. the length of time between event repetitions varies). Therefore, we distinguish between periodic and aperiodic frequencies. In the SI system, periodic frequency is measured in hertz (Hz) or multiples of hertz, while aperiodic frequency is measured in becquerel (Bq).  In spectroscopy, ( u) is mostly used. Light passing through different media keeps its frequency, but not its wavelength or wavenumber.",
https://brickschema.org/schema/Brick#Frequency_Command,Controls the frequency of a device's operation (e.g. rotational frequency),
https://brickschema.org/schema/Brick#Frequency_Sensor,"Measures the frequency of a phenomenon or aspect of a phenomenon, e.g. the frequency of a fan turning",
https://brickschema.org/schema/Brick#Fresh_Air_Fan,Fan moving fresh air -- air that is supplied into the building from the outdoors,
https://brickschema.org/schema/Brick#Frost,"frost formed on the cold surface (tubes, plates) of a cooling coil.",
https://brickschema.org/schema/Brick#Frost_Sensor,Senses the presence of frost or conditions that may cause frost,
https://brickschema.org/schema/Brick#Fuel_Oil,Petroleum based oil burned for energy,
https://brickschema.org/schema/Brick#Fume_Hood,"A fume-collection device mounted over a work space, table, or shelf and serving to conduct unwanted gases away from the area enclosed.",
https://brickschema.org/schema/Brick#Fume_Hood_Air_Flow_Sensor,Measures the rate of flow of air in a fume hood,
https://brickschema.org/schema/Brick#Furniture,"Movable objects intended to support various human activities such as seating, eating and sleeping",https://en.wikipedia.org/wiki/Furniture
https://brickschema.org/schema/Brick#Gain_Parameter,,
https://brickschema.org/schema/Brick#Gas,"state of matter in which substances exist in the form of nonaggregated molecules and which, within acceptable limits of accuracy, satisfy the ideal gas laws; usually a highly superheated vapor. See [[state]].",
https://brickschema.org/schema/Brick#Gas_Distribution,Utilize a gas distribution source to represent how gas is distributed across multiple destinations,
https://brickschema.org/schema/Brick#Gas_Meter,A meter that measures the usage or consumption of gas,
https://brickschema.org/schema/Brick#Gas_Sensor,Measures gas concentration (other than CO2),
https://brickschema.org/schema/Brick#Gasoline,Petroleum derived liquid used as a fuel source,
https://brickschema.org/schema/Brick#Gatehouse,The standalone building used to manage the entrance to a campus or building grounds,
https://brickschema.org/schema/Brick#Generator_Room,"A room for electrical equipment, specifically electrical generators.",
https://brickschema.org/schema/Brick#Geothermal_Water_System,A water system that takes advantage of the thermal energy generated and stored in the sub-surface of the earth.,
https://brickschema.org/schema/Brick#Grains,,
https://brickschema.org/schema/Brick#Ground_Source_Heat_Pump,A heat pump that extracts thermal energy from the ground or groundwater and transfers it to another medium such as water or air.,
https://brickschema.org/schema/Brick#Ground_Source_Water_System,A water system where the pipes or tubing are embedded in the ground to store and extract thermal energy.,
https://brickschema.org/schema/Brick#Ground_Temperature_Sensor,Measures the temperature of the ground.,
https://brickschema.org/schema/Brick#Ground_To_Air_Heat_Pump,A heat pump that extracts thermal energy from the ground or groundwater and transfers it to a volume of air.,
https://brickschema.org/schema/Brick#Ground_To_Water_Heat_Pump,A heat pump that extracts thermal energy from the ground or groundwater and transfers it to a volume or circuit of water.,
https://brickschema.org/schema/Brick#Hail,pellets of frozen rain which fall in showers from cumulonimbus clouds.,
https://brickschema.org/schema/Brick#Hail_Sensor,Measures hail in terms of its size and damage potential,
https://brickschema.org/schema/Brick#Hallway,"A common space, used to connect other parts of a building",
https://brickschema.org/schema/Brick#hasAddress,To specify the address of a building.,
https://brickschema.org/schema/Brick#hasAssociatedTag,The class is associated with the given tag,
https://brickschema.org/schema/Brick#hasInputSubstance,The subject receives the given substance as an input to its internal process,
https://brickschema.org/schema/Brick#hasLocation,Subject is physically located in the location given by the object,
https://brickschema.org/schema/Brick#hasOutputSubstance,The subject produces or exports the given substance from its internal process,
https://brickschema.org/schema/Brick#hasPart,The subject is composed in part of the entity given by the object,
https://brickschema.org/schema/Brick#hasPoint,The subject has a digital/analog input/output point given by the object,
https://brickschema.org/schema/Brick#hasTag,The subject has the given tag,
https://brickschema.org/schema/Brick#hasTimeseriesId,The unique identifier (primary key) for this TimeseriesReference in some database,
https://brickschema.org/schema/Brick#hasUnit,The QUDT unit associated with this Brick entity (usually a Brick Point instance or Entity Property),
https://brickschema.org/schema/Brick#Hazardous_Materials_Storage,A storage space set aside (usually with restricted access) for the storage of materials that can be hazardous to living beings or the environment,
https://brickschema.org/schema/Brick#Heat_Exchanger,A heat exchanger is a piece of equipment built for efficient heat transfer from one medium to another. The media may be separated by a solid wall to prevent mixing or they may be in direct contact,BEDES
https://brickschema.org/schema/Brick#Heat_Exchanger_Supply_Water_Temperature_Sensor,Measures the temperature of water supplied by a heat exchanger,
https://brickschema.org/schema/Brick#Heat_Exchanger_System_Enable_Status,Indicates if the heat exchanger system has been enabled,
https://brickschema.org/schema/Brick#Heat_Pump,A device that transfers thermal energy in the opposite direction of spontaneous heat transfer by absorbing heat from a cold reservoir and releasing it into a warmer one.,https://en.wikipedia.org/wiki/Heat_pump
https://brickschema.org/schema/Brick#Heat_Sensor,Measures heat,
https://brickschema.org/schema/Brick#Heat_Wheel,A rotary heat exchanger positioned within the supply and exhaust air streams of an air handling system in order to recover heat energy,https://en.wikipedia.org/wiki/Thermal_wheel
https://brickschema.org/schema/Brick#Heat_Wheel_VFD,A VFD that drives a heat wheel,
https://brickschema.org/schema/Brick#Heating_Coil,"A heating element typically made of pipe, tube or wire that emits heat. Typically filled with hot water, or, in the case of wire, uses electricity.",
https://brickschema.org/schema/Brick#Heating_Command,Controls the amount of heating to be delivered (typically as a proportion of total heating output),
https://brickschema.org/schema/Brick#Heating_Demand_Sensor,Measures the amount of power consumed by a heating process; typically found by multiplying the tonnage of a unit (e.g. RTU) by the efficiency rating in kW/ton,
https://brickschema.org/schema/Brick#Heating_Demand_Setpoint,Sets the rate required for heating,
https://brickschema.org/schema/Brick#Heating_Discharge_Air_Flow_Setpoint,Sets discharge air flow for heating,
https://brickschema.org/schema/Brick#Heating_Discharge_Air_Temperature_Deadband_Setpoint,Sets the size of a deadband of temperature of heating discharge air,
https://brickschema.org/schema/Brick#Heating_Discharge_Air_Temperature_Integral_Time_Parameter,,
https://brickschema.org/schema/Brick#Heating_Discharge_Air_Temperature_Proportional_Band_Parameter,,
https://brickschema.org/schema/Brick#Heating_Supply_Air_Flow_Setpoint,Sets supply air flow rate for heating,
https://brickschema.org/schema/Brick#Heating_Supply_Air_Temperature_Deadband_Setpoint,Sets the size of a deadband of temperature of supply air for heating,
https://brickschema.org/schema/Brick#Heating_Supply_Air_Temperature_Integral_Time_Parameter,,
https://brickschema.org/schema/Brick#Heating_Supply_Air_Temperature_Proportional_Band_Parameter,,
https://brickschema.org/schema/Brick#Heating_Temperature_Setpoint,Sets temperature for heating,
https://brickschema.org/schema/Brick#Heating_Thermal_Power_Sensor,,
https://brickschema.org/schema/Brick#Heating_Valve,A valve that controls air temperature by modulating the amount of hot water flowing through a heating coil,
https://brickschema.org/schema/Brick#Heating_Ventilation_Air_Conditioning_System,"The equipment, distribution systems and terminals that provide, either collectively or individually, the processes of heating, ventilating or air conditioning to a building or portion of a building",
https://brickschema.org/schema/Brick#High_CO2_Alarm,A device that indicates high concentration of carbon dioxide.,
https://brickschema.org/schema/Brick#High_Discharge_Air_Temperature_Alarm,An alarm that indicates that discharge air temperature is too high,
https://brickschema.org/schema/Brick#High_Head_Pressure_Alarm,An alarm that indicates a high pressure generated on the output side of a gas compressor in a refrigeration or air conditioning system.,
https://brickschema.org/schema/Brick#High_Humidity_Alarm,An alarm that indicates high concentration of water vapor in the air.,
https://brickschema.org/schema/Brick#High_Humidity_Alarm_Parameter,A parameter determining the humidity level at which to trigger a high humidity alarm,
https://brickschema.org/schema/Brick#High_Outside_Air_Lockout_Temperature_Differential_Parameter,The upper bound of the outside air temperature lockout range,
https://brickschema.org/schema/Brick#High_Return_Air_Temperature_Alarm,An alarm that indicates that return air temperature is too high,
https://brickschema.org/schema/Brick#High_Temperature_Alarm,An alarm that indicates high temperature.,
https://brickschema.org/schema/Brick#High_Temperature_Alarm_Parameter,A parameter determining the temperature level at which to trigger a high temperature alarm,
https://brickschema.org/schema/Brick#High_Temperature_Hot_Water_Return_Temperature_Sensor,Measures the temperature of high-temperature hot water returned to a hot water system,
https://brickschema.org/schema/Brick#High_Temperature_Hot_Water_Supply_Temperature_Sensor,Measures the temperature of high-temperature hot water supplied by a hot water system,
https://brickschema.org/schema/Brick#Hold_Status,,
https://brickschema.org/schema/Brick#Horizontal_Ground_Source_Heat_Pump,A ground source heat pump where the source side tubing is laid in horizontal trenches.,
https://brickschema.org/schema/Brick#Hospitality_Box,"A room at a stadium, usually overlooking the field of play, that is physical separate from the other seating at the venue",
https://brickschema.org/schema/Brick#Hot_Box,hot air chamber forming part of an air handler.,
https://brickschema.org/schema/Brick#Hot_Water,Hot water used for HVAC heating or supply to hot taps,
https://brickschema.org/schema/Brick#Hot_Water_Baseboard_Radiator,Hydronic heating device located at or near the floor,
https://brickschema.org/schema/Brick#Hot_Water_Coil,"A heating element typically made of pipe, tube or wire that emits heat that is filled with hot water.",
https://brickschema.org/schema/Brick#Hot_Water_Differential_Pressure_Deadband_Setpoint,Sets the size of a deadband of differential pressure of hot water,
https://brickschema.org/schema/Brick#Hot_Water_Differential_Pressure_Integral_Time_Parameter,,
https://brickschema.org/schema/Brick#Hot_Water_Differential_Pressure_Load_Shed_Reset_Status,,
https://brickschema.org/schema/Brick#Hot_Water_Differential_Pressure_Load_Shed_Status,,
https://brickschema.org/schema/Brick#Hot_Water_Differential_Pressure_Proportional_Band_Parameter,,
https://brickschema.org/schema/Brick#Hot_Water_Differential_Pressure_Sensor,Measures the difference in water pressure on either side of a hot water valve,
https://brickschema.org/schema/Brick#Hot_Water_Differential_Pressure_Setpoint,Sets differential pressure of hot water,
https://brickschema.org/schema/Brick#Hot_Water_Discharge_Flow_Sensor,See Hot_Water_Supply_Flow_Sensor,
https://brickschema.org/schema/Brick#Hot_Water_Discharge_Flow_Setpoint,See Hot_Water_Supply_Flow_Setpoint.,
https://brickschema.org/schema/Brick#Hot_Water_Discharge_Temperature_Load_Shed_Status,,
https://brickschema.org/schema/Brick#Hot_Water_Flow_Sensor,Measures the rate of flow of hot water,
https://brickschema.org/schema/Brick#Hot_Water_Flow_Setpoint,Sets flow rate of hot water.,
https://brickschema.org/schema/Brick#Hot_Water_Meter,A meter that measures the usage or consumption of hot water,
https://brickschema.org/schema/Brick#Hot_Water_Pump,A pump that performs work on hot water; typically part of a hot water system,
https://brickschema.org/schema/Brick#Hot_Water_Radiator,Radiator that uses hot water,
https://brickschema.org/schema/Brick#Hot_Water_Return_Temperature_Sensor,Measures the temperature of water returned to a hot water system,
https://brickschema.org/schema/Brick#Hot_Water_Static_Pressure_Setpoint,Sets static pressure of hot air,
https://brickschema.org/schema/Brick#Hot_Water_Supply_Flow_Sensor,Measures the rate of flow of hot water at the supply side of the loop.,
https://brickschema.org/schema/Brick#Hot_Water_Supply_Flow_Setpoint,Sets the supply side flow rate of hot water.,
https://brickschema.org/schema/Brick#Hot_Water_Supply_Temperature_High_Reset_Setpoint,,
